epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3677,2.25991,3.82827,1.67412,0.03172,0.22936,0.05411,0.02139,2.26938,3.68006,1.35309,0.000325,0.000325,0.000325
2,93.961,2.26176,2.98883,1.54719,0.22527,0.1716,0.11937,0.05436,2.20787,2.50739,1.43411,0.000651816,0.000651816,0.000651816
3,130.793,2.27558,2.58913,1.55177,0.29203,0.21755,0.15851,0.0688,2.2623,2.47426,1.47628,0.000972032,0.000972032,0.000972032
4,167.399,2.22084,2.35523,1.54732,0.33463,0.25175,0.1946,0.08992,2.07722,2.86219,1.39599,0.0009703,0.0009703,0.0009703
5,200.042,2.17736,2.3057,1.54615,0.38165,0.24707,0.22102,0.10273,2.04366,2.18565,1.38529,0.0009604,0.0009604,0.0009604
6,236.124,2.18306,2.20192,1.53049,0.32555,0.26324,0.22007,0.09491,2.13379,2.07573,1.43849,0.0009505,0.0009505,0.0009505
7,275.131,2.16371,2.12734,1.50052,0.34618,0.26492,0.24223,0.11256,2.08055,1.99824,1.40924,0.0009406,0.0009406,0.0009406
8,310.358,2.14288,2.07708,1.50439,0.30799,0.26869,0.2291,0.09526,2.19665,1.98895,1.50102,0.0009307,0.0009307,0.0009307
9,346.439,2.1127,2.04692,1.49109,0.35264,0.27623,0.25644,0.1117,2.11484,1.97721,1.44587,0.0009208,0.0009208,0.0009208
10,381.786,2.08005,2.03782,1.51093,0.40657,0.28003,0.27734,0.13583,2.0418,1.90577,1.42541,0.0009109,0.0009109,0.0009109
11,416.719,2.0884,2.00174,1.48417,0.45382,0.29163,0.29766,0.14025,2.03732,1.84384,1.40615,0.000901,0.000901,0.000901
12,448.933,2.06192,1.94892,1.47514,0.45883,0.29432,0.29849,0.14222,2.03754,1.87311,1.40269,0.0008911,0.0008911,0.0008911
13,485.231,2.04242,1.98731,1.4788,0.43426,0.30934,0.30659,0.14405,2.07311,1.79975,1.41251,0.0008812,0.0008812,0.0008812
14,520.598,2.04696,1.92898,1.46641,0.43096,0.315,0.3146,0.16073,1.92076,1.79534,1.35788,0.0008713,0.0008713,0.0008713
15,555.552,2.03169,1.9346,1.47137,0.4492,0.2884,0.3073,0.15378,1.98523,1.77243,1.40153,0.0008614,0.0008614,0.0008614
16,588.826,1.99513,1.88775,1.4505,0.52544,0.3104,0.3306,0.16819,1.91001,1.7427,1.36448,0.0008515,0.0008515,0.0008515
17,624.304,2.01457,1.86269,1.43362,0.43884,0.31808,0.32392,0.16131,1.98933,1.76884,1.37648,0.0008416,0.0008416,0.0008416
18,659.775,1.98227,1.86304,1.43805,0.55115,0.3046,0.3422,0.17947,1.9011,1.69132,1.3471,0.0008317,0.0008317,0.0008317
19,693.997,2.0012,1.88836,1.43192,0.47677,0.31594,0.34372,0.1688,1.9854,1.74068,1.37188,0.0008218,0.0008218,0.0008218
20,728.174,1.97783,1.84151,1.43536,0.45801,0.32679,0.34778,0.17663,1.97343,1.70726,1.38315,0.0008119,0.0008119,0.0008119
21,763.66,1.99949,1.86446,1.45048,0.51734,0.3359,0.35122,0.17095,1.96658,1.68878,1.35339,0.000802,0.000802,0.000802
22,799.663,1.98971,1.87599,1.45044,0.48093,0.32698,0.3489,0.18265,1.90781,1.66465,1.3362,0.0007921,0.0007921,0.0007921
23,834.765,2.01284,1.87297,1.46053,0.47967,0.31971,0.34441,0.16748,1.95398,1.67927,1.36005,0.0007822,0.0007822,0.0007822
24,868.066,1.98071,1.83145,1.42764,0.49571,0.3004,0.32892,0.16006,1.93165,1.71815,1.33549,0.0007723,0.0007723,0.0007723
25,907.504,1.98078,1.8011,1.41549,0.50664,0.30578,0.35912,0.18978,1.84229,1.6477,1.32197,0.0007624,0.0007624,0.0007624
26,934.037,1.9297,1.75432,1.38954,0.5128,0.31837,0.35177,0.19046,1.81058,1.64419,1.30627,0.0007525,0.0007525,0.0007525
27,966.711,1.95465,1.77901,1.41267,0.48611,0.34383,0.36858,0.19654,1.82307,1.60065,1.30712,0.0007426,0.0007426,0.0007426
28,1002.22,1.95759,1.78918,1.42512,0.48509,0.33457,0.36156,0.17955,1.92897,1.63303,1.35098,0.0007327,0.0007327,0.0007327
29,1034.65,1.93247,1.78062,1.40947,0.54837,0.34182,0.37586,0.18759,1.93272,1.59843,1.34242,0.0007228,0.0007228,0.0007228
30,1070.52,1.96518,1.79683,1.44248,0.5065,0.34636,0.37695,0.20122,1.8316,1.57672,1.29562,0.0007129,0.0007129,0.0007129
31,1104.5,1.95433,1.74686,1.40661,0.51727,0.34077,0.37397,0.20824,1.77635,1.56598,1.275,0.000703,0.000703,0.000703
32,1138.66,1.95598,1.75095,1.40662,0.52132,0.36027,0.39064,0.20579,1.86183,1.57256,1.31168,0.0006931,0.0006931,0.0006931
33,1172.34,1.92237,1.75408,1.40312,0.51224,0.35789,0.38014,0.19785,1.84219,1.5713,1.31181,0.0006832,0.0006832,0.0006832
34,1206.65,1.94434,1.76402,1.42789,0.5695,0.3409,0.38485,0.20138,1.82416,1.56222,1.30062,0.0006733,0.0006733,0.0006733
35,1236.49,1.93205,1.72006,1.38581,0.61762,0.32823,0.38067,0.19882,1.79016,1.57242,1.27826,0.0006634,0.0006634,0.0006634
36,1270.57,1.93633,1.75871,1.41072,0.52745,0.36751,0.38644,0.20983,1.79255,1.54568,1.29049,0.0006535,0.0006535,0.0006535
37,1303.41,1.9181,1.72655,1.40496,0.53114,0.36984,0.38875,0.2156,1.77089,1.53581,1.27102,0.0006436,0.0006436,0.0006436
38,1336.76,1.9591,1.73746,1.4206,0.53726,0.35214,0.38469,0.21001,1.76512,1.54921,1.25698,0.0006337,0.0006337,0.0006337
39,1373.22,1.94528,1.72213,1.41215,0.49728,0.35884,0.39074,0.20397,1.81303,1.53857,1.29269,0.0006238,0.0006238,0.0006238
40,1408.44,1.91329,1.71356,1.39832,0.58097,0.35802,0.39631,0.19615,1.89378,1.55401,1.31864,0.0006139,0.0006139,0.0006139
41,1441.67,1.92497,1.70175,1.39117,0.56064,0.36748,0.40459,0.21954,1.81812,1.49907,1.2938,0.000604,0.000604,0.000604
42,1474.95,1.87814,1.6739,1.39757,0.5239,0.37421,0.40405,0.21748,1.76363,1.50069,1.27838,0.0005941,0.0005941,0.0005941
43,1507.69,1.91572,1.68846,1.39653,0.51297,0.37962,0.40163,0.21742,1.78346,1.53707,1.28364,0.0005842,0.0005842,0.0005842
44,1541.14,1.91174,1.66384,1.37857,0.54142,0.3887,0.41166,0.21006,1.8405,1.50218,1.28985,0.0005743,0.0005743,0.0005743
45,1577.15,1.89059,1.66381,1.37355,0.54474,0.37046,0.40613,0.21695,1.78301,1.50866,1.27956,0.0005644,0.0005644,0.0005644
46,1609.15,1.9141,1.6723,1.40917,0.54933,0.3698,0.40804,0.22383,1.79118,1.49092,1.27808,0.0005545,0.0005545,0.0005545
47,1641.95,1.89442,1.64522,1.36583,0.56633,0.38251,0.41807,0.22235,1.82176,1.47429,1.28366,0.0005446,0.0005446,0.0005446
48,1676.46,1.89259,1.65501,1.36809,0.52557,0.37837,0.40873,0.23478,1.71165,1.47193,1.2488,0.0005347,0.0005347,0.0005347
49,1709.76,1.8793,1.63925,1.37013,0.54287,0.38671,0.41378,0.22487,1.7862,1.48613,1.26809,0.0005248,0.0005248,0.0005248
50,1741.36,1.91795,1.6552,1.38247,0.54886,0.38219,0.4161,0.20946,1.88274,1.50559,1.305,0.0005149,0.0005149,0.0005149
51,1775.66,1.90777,1.64347,1.37766,0.56115,0.38129,0.42059,0.23931,1.70551,1.4384,1.25284,0.000505,0.000505,0.000505
52,1811.99,1.88104,1.64589,1.39371,0.5586,0.385,0.42292,0.22967,1.775,1.47947,1.26066,0.0004951,0.0004951,0.0004951
53,1844.19,1.86176,1.60887,1.35905,0.57817,0.37944,0.43344,0.2392,1.75575,1.44545,1.25404,0.0004852,0.0004852,0.0004852
54,1879.43,1.90571,1.62064,1.361,0.56301,0.3912,0.42837,0.24365,1.70047,1.43598,1.23836,0.0004753,0.0004753,0.0004753
55,1911.84,1.89632,1.62081,1.35447,0.60066,0.3807,0.42667,0.21934,1.84976,1.47004,1.28934,0.0004654,0.0004654,0.0004654
56,1948.52,1.89829,1.62339,1.35829,0.56616,0.39771,0.42875,0.23992,1.71509,1.43413,1.24374,0.0004555,0.0004555,0.0004555
57,1981.96,1.90901,1.63015,1.38619,0.54565,0.39289,0.42634,0.24304,1.68361,1.42411,1.22628,0.0004456,0.0004456,0.0004456
58,2016.35,1.87177,1.63614,1.36042,0.56303,0.39134,0.43547,0.23872,1.77245,1.44419,1.25089,0.0004357,0.0004357,0.0004357
59,2052.56,1.86421,1.6061,1.36944,0.59053,0.39624,0.44245,0.24485,1.71686,1.40106,1.24278,0.0004258,0.0004258,0.0004258
60,2084.47,1.86581,1.62451,1.3831,0.555,0.39473,0.43451,0.24341,1.70209,1.4245,1.23415,0.0004159,0.0004159,0.0004159
61,2120.67,1.84446,1.57887,1.35361,0.55342,0.39278,0.43491,0.25176,1.66702,1.41068,1.22092,0.000406,0.000406,0.000406
62,2152.76,1.87548,1.59875,1.36613,0.53056,0.39377,0.42741,0.23841,1.72321,1.41656,1.24334,0.0003961,0.0003961,0.0003961
63,2186.66,1.89045,1.62207,1.37275,0.55777,0.40266,0.43402,0.2417,1.70565,1.41493,1.23921,0.0003862,0.0003862,0.0003862
64,2220.52,1.89576,1.62744,1.3854,0.57116,0.40958,0.44464,0.23768,1.77038,1.41488,1.25494,0.0003763,0.0003763,0.0003763
65,2255.58,1.84695,1.58091,1.35423,0.58644,0.41102,0.44744,0.24992,1.70038,1.39065,1.23196,0.0003664,0.0003664,0.0003664
66,2287.29,1.83742,1.57749,1.35634,0.56311,0.39816,0.43865,0.23941,1.75619,1.4116,1.25203,0.0003565,0.0003565,0.0003565
67,2321.74,1.87042,1.58129,1.36416,0.58052,0.40402,0.44213,0.23985,1.77773,1.40618,1.25544,0.0003466,0.0003466,0.0003466
68,2354.52,1.84576,1.57835,1.34019,0.60042,0.38792,0.43848,0.23659,1.77865,1.41878,1.25147,0.0003367,0.0003367,0.0003367
69,2388.5,1.82824,1.54997,1.34159,0.554,0.41359,0.44474,0.25174,1.70263,1.37618,1.23359,0.0003268,0.0003268,0.0003268
70,2422.21,1.85311,1.55169,1.35133,0.56484,0.42233,0.45152,0.24372,1.79116,1.38983,1.26198,0.0003169,0.0003169,0.0003169
71,2454.69,1.85998,1.57632,1.35315,0.56485,0.4139,0.45132,0.24756,1.73138,1.37683,1.24143,0.000307,0.000307,0.000307
72,2488.45,1.83676,1.53674,1.35189,0.615,0.40556,0.45451,0.25789,1.68413,1.36064,1.22611,0.0002971,0.0002971,0.0002971
73,2522.84,1.82432,1.57462,1.36839,0.58702,0.41334,0.45689,0.2505,1.7323,1.37608,1.24498,0.0002872,0.0002872,0.0002872
74,2554.28,1.83811,1.54285,1.34388,0.55891,0.41391,0.45275,0.25665,1.67965,1.35529,1.22425,0.0002773,0.0002773,0.0002773
75,2588.15,1.82044,1.52398,1.34702,0.56201,0.41753,0.4539,0.24607,1.76404,1.37924,1.25408,0.0002674,0.0002674,0.0002674
76,2622.52,1.82994,1.52225,1.33624,0.58051,0.40323,0.44577,0.25948,1.64559,1.36373,1.21592,0.0002575,0.0002575,0.0002575
77,2654.9,1.82652,1.52415,1.34086,0.5973,0.41864,0.45936,0.25082,1.77202,1.37182,1.24795,0.0002476,0.0002476,0.0002476
78,2689.74,1.83705,1.52946,1.33604,0.5756,0.40996,0.45528,0.26517,1.64735,1.34742,1.21498,0.0002377,0.0002377,0.0002377
79,2719.93,1.8073,1.51456,1.32496,0.58229,0.40782,0.45211,0.25395,1.73442,1.36084,1.23861,0.0002278,0.0002278,0.0002278
80,2754.32,1.80307,1.50902,1.33438,0.57964,0.41284,0.45437,0.26247,1.65137,1.33688,1.21601,0.0002179,0.0002179,0.0002179
81,2786.78,1.80694,1.49772,1.3267,0.59127,0.40918,0.45284,0.2475,1.7492,1.36522,1.24618,0.000208,0.000208,0.000208
82,2819.09,1.8305,1.51717,1.34218,0.6038,0.40314,0.45171,0.2558,1.67952,1.33488,1.22407,0.0001981,0.0001981,0.0001981
83,2852.76,1.79474,1.51247,1.33159,0.57641,0.41697,0.4575,0.26123,1.66194,1.33769,1.2181,0.0001882,0.0001882,0.0001882
84,2886.37,1.82833,1.49388,1.31895,0.58813,0.4165,0.46225,0.26466,1.67557,1.33103,1.22145,0.0001783,0.0001783,0.0001783
85,2921.37,1.82072,1.50364,1.32601,0.58662,0.41944,0.46063,0.2586,1.70855,1.34046,1.22956,0.0001684,0.0001684,0.0001684
86,2956.02,1.79343,1.50635,1.3398,0.56896,0.42739,0.46188,0.2633,1.67227,1.33003,1.2215,0.0001585,0.0001585,0.0001585
87,2989.96,1.80751,1.49366,1.31731,0.58885,0.42493,0.46304,0.26876,1.65056,1.31827,1.20949,0.0001486,0.0001486,0.0001486
88,3023.94,1.83178,1.50379,1.3181,0.57349,0.42888,0.46391,0.26539,1.67659,1.33082,1.21477,0.0001387,0.0001387,0.0001387
89,3058.05,1.79374,1.49702,1.31581,0.5822,0.4124,0.45969,0.26448,1.67056,1.32757,1.21234,0.0001288,0.0001288,0.0001288
90,3090.85,1.80873,1.46683,1.29749,0.60948,0.42043,0.46526,0.26219,1.70043,1.32354,1.22496,0.0001189,0.0001189,0.0001189
91,3142.35,1.69624,1.48316,1.27572,0.59176,0.41818,0.46125,0.26537,1.6389,1.33038,1.2075,0.000109,0.000109,0.000109
92,3175.03,1.71848,1.4975,1.28648,0.5865,0.41195,0.45843,0.26408,1.6457,1.33675,1.21481,9.91e-05,9.91e-05,9.91e-05
93,3204.46,1.69235,1.43149,1.29156,0.59186,0.41055,0.46064,0.25732,1.69966,1.36396,1.23396,8.92e-05,8.92e-05,8.92e-05
94,3234.7,1.71661,1.45245,1.28707,0.57322,0.41584,0.45816,0.26343,1.66178,1.33845,1.21797,7.93e-05,7.93e-05,7.93e-05
95,3264.05,1.71339,1.43519,1.27093,0.56783,0.42193,0.45725,0.26285,1.66592,1.33273,1.21919,6.94e-05,6.94e-05,6.94e-05
96,3294.4,1.68327,1.4141,1.28214,0.57904,0.41504,0.45729,0.26126,1.6735,1.33353,1.22143,5.95e-05,5.95e-05,5.95e-05
97,3325.11,1.67702,1.39882,1.27376,0.57278,0.41858,0.45756,0.2624,1.66517,1.32968,1.21614,4.96e-05,4.96e-05,4.96e-05
98,3355.64,1.67001,1.39084,1.26174,0.57235,0.42163,0.45899,0.26217,1.6728,1.33156,1.21643,3.97e-05,3.97e-05,3.97e-05
99,3386.44,1.6764,1.37225,1.27233,0.55676,0.43049,0.46012,0.26052,1.68398,1.33165,1.21987,2.98e-05,2.98e-05,2.98e-05
100,3416.84,1.68199,1.40111,1.27657,0.56523,0.42886,0.46009,0.26155,1.67704,1.3287,1.21739,1.99e-05,1.99e-05,1.99e-05
